No.     Time           Source                Destination           Protocol Length Info
   1397 465.095272467  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1398 465.098160248  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1399 465.248193334  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1400 465.248941833  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1401 465.398987685  192.168.0.18          192.168.0.2           TELNET   69     Telnet Data ...
   1402 465.400809353  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1403 465.550843497  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1404 465.551592866  192.168.0.2           192.168.0.18          TELNET   69     Telnet Data ...
   1406 465.701623562  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1407 465.703447211  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1411 465.853477262  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1412 465.854175612  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1414 466.004212853  192.168.0.18          192.168.0.2           TELNET   69     Telnet Data ...
   1415 466.006080366  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1416 466.156112447  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1417 466.157936977  192.168.0.2           192.168.0.18          TELNET   69     Telnet Data ...
   1418 466.307969762  192.168.0.18          192.168.0.2           TELNET   70     Telnet Data ...
   1419 466.308734217  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1420 466.458786868  192.168.0.18          192.168.0.2           TELNET   67     Telnet Data ...
   1421 466.461694462  192.168.0.2           192.168.0.18          TELNET   70     Telnet Data ...
   1422 466.655363614  192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=97 Ack=99 Win=245 Len=0 TSval=547943370 TSecr=1568601
   1423 466.656090547  192.168.0.2           192.168.0.18          TELNET   67     Telnet Data ...
   1424 466.806192655  192.168.0.18          192.168.0.2           TCP      66     57220 → 23 [ACK] Seq=97 Ack=100 Win=245 Len=0 TSval=547943407 TSecr=1568621
