No.     Time           Source                Destination           Protocol Length Info
     22 8.899692982    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=9689 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     23 8.899899457    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=11137 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     24 8.899910687    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=12585 Ack=1 Win=29312 Len=1448 TSval=3166361311 TSecr=505723968
     25 8.900676828    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=1001 Win=32128 Len=0 TSval=505723972 TSecr=3166361311
     26 8.900726868    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=14033 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     27 8.900741533    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=2449 Win=35072 Len=0 TSval=505723972 TSecr=3166361311
     28 8.900755731    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=15481 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     29 8.901157985    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=5345 Win=40832 Len=0 TSval=505723972 TSecr=3166361311
     30 8.901858236    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=6793 Win=43776 Len=0 TSval=505723972 TSecr=3166361311
     31 8.901894062    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=8241 Win=46592 Len=0 TSval=505723972 TSecr=3166361311
     32 8.901925630    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=16929 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     33 8.901934122    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=18377 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     34 8.901936761    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=19825 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     35 8.901938965    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=21273 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     36 8.901948710    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=11137 Win=52480 Len=0 TSval=505723972 TSecr=3166361311
     37 8.903129403    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=12585 Win=55296 Len=0 TSval=505723972 TSecr=3166361311
     38 8.903165145    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=14033 Win=58240 Len=0 TSval=505723972 TSecr=3166361311
     39 8.903192580    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=22721 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     40 8.903200326    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=24169 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     41 8.903202935    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=25617 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     42 8.903205052    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=27065 Ack=1 Win=29312 Len=1448 TSval=3166361312 TSecr=505723972
     43 8.903211750    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=15481 Win=61056 Len=0 TSval=505723972 TSecr=3166361312
     44 8.903221226    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=16929 Win=64000 Len=0 TSval=505723972 TSecr=3166361312
     45 8.904505814    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=18377 Win=66944 Len=0 TSval=505723972 TSecr=3166361312
     46 8.904566978    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=28513 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723972
     47 8.904574456    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=29961 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723972
     48 8.904577262    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=31409 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723972
     49 8.904579188    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=32857 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723972
     50 8.904588001    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=19825 Win=69760 Len=0 TSval=505723973 TSecr=3166361312
     51 8.904598356    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=22721 Win=75648 Len=0 TSval=505723973 TSecr=3166361312
     52 8.905799757    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=24169 Win=78464 Len=0 TSval=505723973 TSecr=3166361312
     53 8.905858015    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=34305 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     54 8.905866051    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=35753 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     55 8.905868205    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=37201 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     56 8.905870238    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=38649 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     57 8.905880643    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=25617 Win=81408 Len=0 TSval=505723973 TSecr=3166361312
     58 8.905891580    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=27065 Win=84224 Len=0 TSval=505723973 TSecr=3166361312
     59 8.905897252    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=28513 Win=87168 Len=0 TSval=505723973 TSecr=3166361312
     60 8.906109981    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=40097 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     61 8.906119978    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=41545 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     62 8.907145546    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=29961 Win=90112 Len=0 TSval=505723973 TSecr=3166361313
     63 8.907192048    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=31409 Win=92928 Len=0 TSval=505723973 TSecr=3166361313
     64 8.907225064    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=42993 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     65 8.907233325    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=44441 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     66 8.907237148    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=45889 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     67 8.907239161    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=47337 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723973
     68 8.907247670    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=34305 Win=98816 Len=0 TSval=505723973 TSecr=3166361313
     69 8.907764770    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=35753 Win=101632 Len=0 TSval=505723973 TSecr=3166361313
     70 8.907790245    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=37201 Win=104576 Len=0 TSval=505723974 TSecr=3166361313
     71 8.907816185    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=48785 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723974
     72 8.907824098    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=50233 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723974
     73 8.907826897    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=51681 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723974
     74 8.907828593    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=53129 Ack=1 Win=29312 Len=1448 TSval=3166361313 TSecr=505723974
     75 8.907838402    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=38649 Win=107392 Len=0 TSval=505723974 TSecr=3166361313
     76 8.907848606    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=40097 Win=110336 Len=0 TSval=505723974 TSecr=3166361313
     77 8.908077248    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=54577 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     78 8.908083964    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=56025 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     79 8.909165028    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=41545 Win=113280 Len=0 TSval=505723974 TSecr=3166361313
     80 8.909182268    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=42993 Win=116096 Len=0 TSval=505723974 TSecr=3166361313
     81 8.909188225    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=44441 Win=119040 Len=0 TSval=505723974 TSecr=3166361313
     82 8.909192790    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=45889 Win=121984 Len=0 TSval=505723974 TSecr=3166361313
     83 8.909208057    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=57473 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     84 8.909212616    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=58921 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     85 8.909215519    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=60369 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     86 8.909217325    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=61817 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     87 8.909223529    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=47337 Win=124800 Len=0 TSval=505723974 TSecr=3166361313
     88 8.909726994    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=48785 Win=127744 Len=0 TSval=505723974 TSecr=3166361313
     89 8.909737883    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=50233 Win=130560 Len=0 TSval=505723974 TSecr=3166361313
     90 8.909743492    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=51681 Win=133504 Len=0 TSval=505723974 TSecr=3166361313
     91 8.909758492    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=63265 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     92 8.909763188    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=64713 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     93 8.909765281    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=66161 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     94 8.909767964    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=67609 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     95 8.909770626    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=69057 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
     96 8.909777058    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=53129 Win=136448 Len=0 TSval=505723974 TSecr=3166361313
     97 8.909786977    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=54577 Win=139264 Len=0 TSval=505723974 TSecr=3166361313
     98 8.909793519    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=56025 Win=142208 Len=0 TSval=505723974 TSecr=3166361314
     99 8.910029920    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=70505 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
    100 8.911362746    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=57473 Win=145152 Len=0 TSval=505723974 TSecr=3166361314
    101 8.911372669    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=58921 Win=147968 Len=0 TSval=505723974 TSecr=3166361314
    102 8.911378295    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=60369 Win=150912 Len=0 TSval=505723974 TSecr=3166361314
    103 8.911390967    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=71953 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
    104 8.911395863    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=73401 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
    105 8.911398656    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=74849 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
    106 8.911402519    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=76297 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
    107 8.911404515    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=77745 Ack=1 Win=29312 Len=1448 TSval=3166361314 TSecr=505723974
    108 8.911410285    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=61817 Win=153728 Len=0 TSval=505723974 TSecr=3166361314
    109 8.911417522    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=63265 Win=156672 Len=0 TSval=505723974 TSecr=3166361314
    110 8.911422870    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=64713 Win=159616 Len=0 TSval=505723974 TSecr=3166361314
    111 8.912550656    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=66161 Win=162432 Len=0 TSval=505723974 TSecr=3166361314
    112 8.912584268    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=79193 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723974
    113 8.912590659    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=80641 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723974
    114 8.912594064    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=82089 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723974
    115 8.912596957    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=83537 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723974
    116 8.912598856    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=84985 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723974
    117 8.912606729    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=67609 Win=165376 Len=0 TSval=505723975 TSecr=3166361314
    118 8.912622207    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=69057 Win=168320 Len=0 TSval=505723975 TSecr=3166361314
    119 8.912630790    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=70505 Win=171136 Len=0 TSval=505723975 TSecr=3166361314
    120 8.913747425    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=71953 Win=174080 Len=0 TSval=505723975 TSecr=3166361314
    121 8.913771482    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=73401 Win=176896 Len=0 TSval=505723975 TSecr=3166361314
    122 8.913792395    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=86433 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    123 8.913796572    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=87881 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    124 8.913797863    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=89329 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    125 8.913799508    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=90777 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    126 8.913800786    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=92225 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    127 8.913806569    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=74849 Win=179840 Len=0 TSval=505723975 TSecr=3166361314
    128 8.913812726    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=76297 Win=182784 Len=0 TSval=505723975 TSecr=3166361314
    129 8.914290204    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=77745 Win=185600 Len=0 TSval=505723975 TSecr=3166361314
    130 8.914301324    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=79193 Win=185856 Len=0 TSval=505723975 TSecr=3166361314
    131 8.914308545    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=80641 Win=185856 Len=0 TSval=505723975 TSecr=3166361315
    132 8.914322926    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=93673 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    133 8.914325980    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=95121 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    134 8.914327960    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=96569 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    135 8.914329432    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=98017 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    136 8.914331539    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=99465 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    137 8.914336846    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=82089 Win=185856 Len=0 TSval=505723975 TSecr=3166361315
    138 8.915640665    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=83537 Win=185856 Len=0 TSval=505723975 TSecr=3166361315
    139 8.915653160    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=84985 Win=185856 Len=0 TSval=505723975 TSecr=3166361315
    140 8.915657247    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=86433 Win=185856 Len=0 TSval=505723975 TSecr=3166361315
    141 8.915671207    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=100913 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    142 8.915674224    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=102361 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    143 8.915675739    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=103809 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    144 8.915677100    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=105257 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    145 8.915678388    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=106705 Ack=1 Win=29312 Len=1448 TSval=3166361315 TSecr=505723975
    146 8.915683398    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=87881 Win=185856 Len=0 TSval=505723975 TSecr=3166361315
    147 8.915688448    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=89329 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    148 8.916831414    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=90777 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    149 8.916851785    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=108153 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    150 8.916854846    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=109601 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    151 8.916856468    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=111049 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    152 8.916862240    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=92225 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    153 8.916874635    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=93673 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    154 8.916880465    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=95121 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    155 8.916885100    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=96569 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    156 8.916888819    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=98017 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    157 8.916900712    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=112497 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    158 8.916903284    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=113945 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    159 8.916904829    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=115393 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    160 8.916907130    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=116841 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    161 8.917108277    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=118289 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    162 8.918179555    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=99465 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    163 8.918201963    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=119737 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    164 8.918208715    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=102361 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    165 8.918217277    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=105257 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    166 8.919193016    192.168.0.3           192.168.0.18          TCP      66     1234 → 44962 [ACK] Seq=1 Ack=108153 Win=185856 Len=0 TSval=505723976 TSecr=3166361315
    167 8.919208370    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=121185 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    168 8.919210548    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=122633 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    169 8.919211789    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=124081 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
    170 8.919213026    192.168.0.18          192.168.0.3           TCP      1514   44962 → 1234 [ACK] Seq=125529 Ack=1 Win=29312 Len=1448 TSval=3166361316 TSecr=505723976
